ID,CATEGORY_A,CATEGORY_B,NUMERIC_1,NUMERIC_2,NUMERIC_3,LABEL
2362,alpha,medium,46.21,41.24,119,1
2363,beta,low,61.19,99.31,45,0
2364,alpha,low,42.28,60.42,144,1
2365,alpha,high,46.43,36.03,290,1
2366,alpha,high,35.29,68.77,324,1
2367,beta,low,35.32,89.21,382,1
2368,beta,low,30.6,85.69,14,0
2369,alpha,low,54.84,48.4,196,1
2370,alpha,low,65.52,97.42,266,1
2371,beta,low,36.99,76.66,249,0
2372,alpha,low,76.0,47.01,83,1
2373,alpha,low,63.67,21.15,43,0
2374,alpha,high,35.79,17.73,52,0
2375,beta,low,72.03,24.05,415,1
2376,beta,medium,55.6,72.95,182,1
2377,alpha,low,19.05,28.42,218,0
2378,beta,medium,62.78,22.04,86,0
2379,alpha,high,42.87,0.27,131,0
2380,alpha,low,29.31,69.91,241,0
2381,alpha,medium,50.62,28.67,353,1
2382,beta,low,24.24,54.73,407,1
2383,alpha,high,59.55,92.62,494,1
2384,beta,low,48.53,36.52,381,0
2385,alpha,high,60.1,3.01,140,1
2386,alpha,low,37.3,66.83,80,1
2387,alpha,high,67.12,57.1,225,1
2388,beta,medium,49.98,46.67,354,1
2389,beta,high,41.5,53.9,456,0
2390,beta,medium,46.69,92.27,433,0
2391,alpha,low,50.68,64.23,486,1
2392,beta,high,61.46,22.36,116,1
2393,beta,high,48.69,72.39,353,0
2394,alpha,low,44.09,4.97,473,0
2395,alpha,high,49.94,44.79,87,1
2396,beta,low,55.62,75.36,315,1
2397,alpha,low,54.76,4.09,222,1
2398,alpha,low,64.43,4.14,446,1
2399,beta,high,26.93,48.66,236,1
2400,beta,medium,35.84,29.5,93,0
2401,beta,low,48.21,17.17,416,1
2402,alpha,low,66.19,55.92,148,1
2403,beta,high,45.7,76.67,195,0
2404,alpha,low,46.91,8.59,50,0
2405,beta,high,65.53,81.35,452,0
2406,alpha,low,85.53,79.95,88,1
2407,alpha,medium,69.9,19.76,135,1
2408,alpha,low,8.47,76.81,475,0
2409,beta,low,18.23,44.0,443,0
2410,beta,high,59.53,98.69,172,0
2411,beta,high,63.4,79.79,283,0
2412,alpha,high,4.33,64.43,378,0
2413,beta,medium,32.63,88.56,463,0
2414,alpha,high,60.82,73.58,499,1
2415,beta,high,70.7,7.66,392,0
2416,alpha,medium,41.78,26.2,249,0
2417,beta,low,53.69,11.02,434,1
2418,alpha,high,41.57,66.43,170,0
2419,beta,medium,49.85,12.43,286,0
2420,beta,medium,58.25,8.15,468,0
2421,beta,medium,33.18,46.92,287,1
2422,beta,medium,46.5,39.86,217,1
2423,beta,medium,55.01,7.09,337,1
2424,beta,low,35.48,79.94,229,0
2425,beta,low,49.51,61.11,174,0
2426,beta,low,66.73,0.68,443,0
2427,alpha,medium,77.77,14.23,436,1
2428,alpha,high,57.13,94.45,188,1
2429,alpha,high,45.1,95.08,270,0
2430,alpha,high,41.4,40.82,316,1
2431,beta,medium,24.32,51.77,109,1
2432,alpha,medium,54.84,41.74,133,1
2433,beta,low,80.49,22.53,397,1
2434,alpha,low,58.25,96.28,48,1
2435,beta,high,68.22,41.82,498,0
2436,alpha,high,46.39,45.39,299,1
2437,alpha,low,52.83,43.74,428,0
2438,beta,high,41.28,79.77,456,1
2439,alpha,high,95.47,32.75,193,1
2440,alpha,low,42.09,40.22,499,0
2441,alpha,low,75.34,72.29,26,1
2442,alpha,medium,39.51,84.62,154,0
2443,alpha,low,39.14,37.55,60,1
2444,alpha,medium,17.89,50.69,249,0
2445,beta,low,36.1,76.48,5,0
2446,beta,high,48.72,13.23,181,0
2447,beta,medium,62.47,84.23,1,0
2448,alpha,medium,65.52,30.35,204,0
2449,alpha,medium,26.45,82.57,197,0
2450,alpha,low,63.99,48.22,167,1
2451,beta,high,43.31,9.04,401,0
2452,alpha,low,51.04,16.78,29,1
2453,alpha,low,49.28,12.9,332,1
2454,alpha,medium,51.73,18.54,349,0
2455,alpha,medium,52.58,91.05,174,0
2456,beta,medium,3.47,10.93,340,0
2457,beta,low,71.06,64.43,21,1
2458,alpha,medium,40.48,51.94,161,1
2459,alpha,medium,26.12,72.51,270,1
2460,alpha,low,62.26,52.01,319,1
2461,beta,medium,46.5,87.63,4,1
2462,beta,medium,25.32,9.55,340,0
2463,alpha,medium,41.8,73.98,228,1
2464,beta,low,50.01,11.78,498,1
2465,beta,high,61.29,31.0,262,0
2466,beta,medium,47.29,52.5,301,0
2467,alpha,medium,26.81,46.37,299,0
2468,alpha,low,70.7,6.63,418,1
2469,alpha,low,26.43,70.84,405,0
2470,beta,medium,26.95,33.59,195,0
2471,beta,medium,72.06,37.34,464,0
2472,alpha,high,83.6,18.26,52,1
2473,alpha,medium,72.83,76.19,8,1
2474,beta,high,45.41,13.06,464,0
2475,beta,low,60.48,26.34,378,0
2476,alpha,high,49.07,22.94,149,1
2477,beta,medium,70.42,90.57,484,0
2478,alpha,medium,93.21,88.76,218,1
2479,beta,low,34.05,85.08,57,0
2480,alpha,medium,41.55,57.87,24,0
2481,beta,medium,60.25,23.83,23,0
2482,beta,low,54.54,25.69,159,0
2483,alpha,medium,36.35,17.86,121,0
2484,alpha,low,40.76,26.36,199,1
2485,beta,high,55.76,59.78,184,1
2486,beta,low,54.53,69.79,61,0
2487,beta,high,32.87,39.2,38,1
2488,beta,low,65.29,89.17,166,1
2489,beta,medium,29.43,2.9,226,0
2490,beta,high,39.43,2.27,404,0
2491,alpha,low,46.43,52.77,48,0
2492,beta,low,48.49,10.43,333,0
2493,beta,medium,24.27,98.85,210,0
2494,beta,low,35.99,56.85,11,0
2495,beta,low,51.45,27.2,105,0
2496,beta,medium,60.72,66.09,436,0
2497,beta,medium,37.48,8.45,1,0
2498,beta,high,38.51,91.0,266,1
2499,beta,high,80.33,4.11,93,1
2500,beta,medium,18.57,35.83,333,1
2501,beta,low,32.43,76.91,166,1
2502,alpha,high,60.64,28.4,384,1
2503,alpha,medium,31.53,27.09,371,0
2504,alpha,high,56.15,52.54,295,1
2505,beta,high,50.24,57.2,350,0
2506,beta,high,58.66,81.15,478,0
2507,beta,low,66.93,13.89,358,0
2508,alpha,low,41.23,21.17,232,1
2509,beta,low,59.68,37.68,17,1
2510,beta,low,47.73,93.95,417,1
2511,beta,high,62.87,10.09,317,0
2512,alpha,low,44.48,42.23,477,1
2513,beta,high,59.75,10.87,356,1
2514,alpha,high,52.91,28.89,284,1
2515,beta,low,43.28,95.76,438,0
2516,beta,high,77.92,47.4,195,0
2517,alpha,high,49.2,94.83,45,1
2518,alpha,high,35.62,50.78,272,1
2519,alpha,high,57.94,23.95,412,0
2520,alpha,low,50.63,81.25,392,1
2521,beta,low,50.69,76.68,201,1
2522,alpha,medium,53.96,4.67,160,1
2523,beta,medium,41.18,89.49,302,0
2524,alpha,medium,42.94,90.65,35,1
2525,alpha,high,25.52,29.49,108,1
2526,beta,low,36.62,64.58,333,1
2527,beta,medium,64.48,44.97,369,1
2528,beta,medium,46.65,54.35,219,1
2529,beta,low,53.6,45.93,123,1
2530,alpha,low,52.66,96.61,92,0
2531,alpha,low,53.31,4.01,447,1
2532,beta,low,43.23,27.3,313,0
2533,alpha,low,37.96,2.47,11,1
2534,beta,high,62.73,18.53,156,1
2535,beta,low,55.05,27.01,34,1
2536,alpha,medium,66.04,94.8,409,1
2537,beta,high,28.93,87.2,163,0
2538,beta,low,71.99,12.88,417,1
2539,beta,high,58.09,75.1,228,0
2540,beta,high,38.81,90.36,36,1
2541,beta,high,40.3,20.95,467,1
2542,alpha,low,54.81,29.39,87,1
2543,beta,low,56.77,58.12,493,1
2544,beta,low,33.52,78.7,94,1
2545,beta,medium,48.91,50.47,134,0
2546,alpha,high,60.02,41.99,39,1
2547,alpha,medium,31.77,12.1,386,0
2548,alpha,low,72.16,38.46,160,1
2549,beta,medium,63.94,78.97,60,1
2550,beta,low,39.85,68.16,329,1
2551,beta,low,49.71,41.73,68,0
2552,alpha,high,46.71,15.29,74,1
2553,beta,high,53.77,26.98,347,1
2554,beta,low,72.99,56.78,450,1
2555,beta,high,35.86,4.92,167,1
2556,alpha,low,39.75,5.57,355,1
2557,beta,medium,38.0,30.38,115,1
2558,beta,low,69.37,18.16,81,0
2559,beta,high,65.53,49.81,426,1
2560,alpha,medium,50.06,25.41,304,1
2561,alpha,high,66.69,88.08,24,0
2562,alpha,medium,75.74,53.94,155,1
2563,beta,low,73.38,72.85,263,0
2564,alpha,medium,54.75,50.13,333,0
2565,beta,high,60.71,2.84,399,0
2566,alpha,low,64.74,6.79,36,1
2567,beta,medium,60.98,85.51,60,0
2568,beta,low,61.12,60.31,97,0
2569,beta,low,33.84,21.87,483,1
2570,beta,medium,52.93,57.0,317,0
2571,beta,medium,51.38,17.17,117,1
2572,alpha,low,75.39,7.73,198,0
2573,alpha,low,42.04,2.13,396,1
2574,alpha,high,57.55,39.8,492,1
2575,beta,medium,16.6,3.75,73,1
2576,beta,medium,44.96,80.12,231,1
2577,beta,high,51.9,63.83,427,1
2578,beta,high,47.15,31.48,147,1
2579,beta,high,56.75,65.27,153,0
2580,alpha,low,56.29,59.15,324,1
2581,beta,low,28.61,74.38,259,0
2582,beta,high,51.45,12.08,110,0
2583,alpha,low,53.34,69.99,193,0
2584,alpha,low,54.46,40.99,458,1
2585,alpha,low,40.69,46.1,97,1
2586,beta,low,65.63,62.78,467,1
2587,alpha,high,55.34,34.27,358,0
2588,alpha,low,57.22,87.7,384,1
2589,beta,medium,33.06,27.75,375,1
2590,beta,high,44.44,42.8,263,0
2591,beta,high,55.36,56.59,3,0
2592,alpha,high,43.59,71.75,456,1
2593,beta,medium,57.45,53.68,156,1
2594,alpha,high,39.3,47.09,54,1
2595,beta,high,30.72,9.58,295,1
2596,alpha,high,12.96,30.4,51,0
2597,beta,high,56.21,75.33,223,0
2598,beta,medium,34.81,85.21,1,0
2599,alpha,low,58.74,11.12,58,1
2600,beta,medium,69.7,41.75,39,1
2601,beta,high,38.95,13.51,25,0
2602,alpha,high,54.31,67.88,373,0
2603,beta,medium,39.46,11.31,389,0
2604,beta,medium,33.49,85.11,283,0
2605,beta,medium,39.81,23.54,485,0
2606,beta,medium,55.46,8.65,372,0
2607,alpha,medium,87.14,50.47,355,1
2608,alpha,high,47.38,59.12,340,1
2609,beta,high,67.52,15.66,66,0
2610,beta,medium,39.17,24.29,350,1
2611,beta,low,71.57,34.27,167,1
2612,beta,high,62.69,40.13,370,1
2613,beta,medium,20.31,54.19,387,1
2614,alpha,high,71.29,40.9,437,1
2615,beta,high,49.83,48.05,293,1
2616,alpha,low,50.22,30.83,75,1
2617,beta,low,83.41,64.14,435,1
2618,alpha,medium,44.96,72.81,132,0
2619,beta,medium,41.73,3.89,198,1
2620,beta,medium,40.63,2.45,311,0
2621,alpha,high,37.15,73.17,463,1
2622,alpha,medium,67.9,23.79,402,1
2623,beta,high,54.04,7.47,80,1
2624,alpha,high,21.12,28.1,146,0
2625,alpha,medium,37.45,84.78,127,0
2626,alpha,high,35.38,70.85,399,1
2627,alpha,low,81.12,22.0,322,1
2628,alpha,high,36.79,82.8,420,0
2629,alpha,medium,51.26,99.09,149,0
2630,beta,medium,27.86,69.97,147,0
2631,beta,high,52.79,64.59,2,1
2632,alpha,medium,54.75,76.55,178,1
2633,beta,medium,44.45,78.39,233,0
2634,beta,low,55.08,46.64,174,1
2635,beta,low,44.4,73.3,211,1
2636,alpha,medium,50.44,29.73,387,1
2637,beta,low,49.92,27.43,469,1
2638,beta,medium,34.77,25.58,12,0
2639,beta,low,81.96,0.36,343,0
2640,beta,low,39.97,43.05,142,0
2641,beta,high,42.54,39.65,148,0
2642,alpha,medium,33.71,68.73,411,0
2643,alpha,medium,62.15,26.5,305,1
2644,beta,high,48.95,39.8,53,1
2645,alpha,low,29.27,21.66,80,0
2646,alpha,medium,36.8,70.87,219,1
2647,beta,high,37.59,8.33,381,1
2648,alpha,medium,62.03,27.2,490,1
2649,alpha,medium,67.41,43.33,380,1
2650,beta,medium,41.23,55.92,446,1
2651,beta,low,56.09,34.79,238,1
2652,alpha,high,43.44,27.65,81,1
2653,alpha,medium,53.37,98.7,163,0
2654,alpha,high,59.87,75.45,287,1
2655,alpha,medium,53.14,20.7,168,1
2656,alpha,medium,36.82,79.13,490,1
2657,alpha,medium,55.86,68.72,357,1
2658,beta,low,36.64,29.65,333,0
2659,beta,low,37.22,23.1,143,1
2660,alpha,high,64.86,59.42,270,1
2661,beta,low,45.31,60.71,258,0
2662,alpha,high,17.96,21.83,361,1
2663,alpha,low,53.05,25.67,479,1
2664,beta,medium,55.45,23.97,45,0
2665,alpha,high,37.74,94.91,16,1
2666,alpha,high,49.88,76.91,18,1
2667,alpha,medium,49.86,53.56,7,0
2668,beta,medium,63.45,52.59,202,1
2669,alpha,medium,50.8,4.45,358,1
2670,beta,medium,36.95,11.38,200,1
2671,beta,medium,38.15,12.45,115,0
2672,beta,low,60.65,58.48,216,1
2673,beta,medium,33.21,36.95,396,1
2674,alpha,low,51.75,1.87,226,1
2675,alpha,high,58.5,44.23,330,0
2676,beta,high,40.25,0.03,422,0
2677,beta,low,55.46,56.26,110,1
2678,alpha,medium,84.45,67.54,135,1
2679,beta,medium,39.89,60.34,489,1
2680,beta,high,31.77,65.74,488,0
2681,beta,low,56.65,1.63,348,1
2682,alpha,low,65.46,9.05,498,1
2683,beta,low,36.85,32.52,363,0
2684,beta,medium,68.9,46.19,377,0
2685,alpha,medium,57.38,62.99,499,0
2686,beta,high,47.1,34.81,249,0
2687,alpha,low,43.55,0.96,1,1
2688,beta,low,46.07,34.3,340,1
2689,beta,low,40.78,78.44,17,0
2690,beta,low,42.99,27.87,267,0
2691,beta,medium,47.41,38.49,459,1
2692,beta,medium,38.49,30.48,349,0
2693,alpha,medium,66.42,22.65,58,1
2694,alpha,medium,71.78,77.91,419,1
2695,alpha,low,42.53,71.56,175,1
2696,alpha,medium,49.76,48.5,356,1
2697,alpha,high,48.61,10.21,134,0
2698,beta,low,46.28,64.35,276,0
2699,alpha,medium,15.07,29.81,204,1
2700,alpha,medium,83.22,58.42,249,1
2701,alpha,medium,61.05,60.55,378,0
2702,alpha,low,52.71,39.12,220,0
2703,beta,medium,46.29,39.42,277,1
2704,alpha,medium,29.71,42.37,26,0
2705,alpha,low,66.27,94.22,160,1
2706,alpha,high,75.63,38.59,275,1
2707,alpha,high,61.35,76.48,181,1
2708,alpha,high,66.79,51.41,255,1
2709,alpha,medium,63.43,10.3,59,0
2710,alpha,medium,49.83,38.11,442,0
2711,alpha,high,43.28,83.76,262,1
2712,beta,low,88.92,97.33,51,0
2713,alpha,medium,58.53,17.88,404,1
2714,beta,medium,29.28,97.93,363,1
2715,alpha,medium,49.78,26.23,416,0
2716,beta,high,36.39,0.53,225,0
2717,alpha,medium,63.57,28.96,307,0
2718,beta,high,18.02,22.04,293,0
2719,alpha,high,35.21,70.89,182,0
2720,alpha,low,35.46,66.17,207,0
2721,alpha,low,27.03,39.45,93,1
2722,beta,medium,77.72,15.75,13,1
2723,alpha,medium,80.17,4.61,430,1
2724,alpha,high,46.41,98.21,9,1
2725,alpha,low,69.43,1.44,81,1
2726,beta,low,49.03,33.68,61,0
2727,alpha,high,29.41,97.77,303,0
2728,alpha,high,67.73,74.46,230,0
2729,alpha,low,75.41,8.57,118,1
2730,beta,low,55.97,23.7,388,0
2731,beta,low,19.35,28.83,230,0
2732,alpha,low,37.94,13.73,239,1
2733,beta,medium,79.5,8.82,228,1
2734,alpha,high,62.42,19.76,493,1
2735,alpha,medium,41.81,60.52,274,0
2736,beta,high,57.86,84.73,370,0
2737,beta,medium,49.6,5.6,199,0
2738,alpha,high,34.7,23.99,228,1
2739,beta,medium,55.93,55.51,217,0
2740,beta,medium,58.82,59.35,227,1
2741,beta,low,51.6,98.72,104,1
2742,beta,low,68.22,61.1,127,0
2743,beta,high,43.12,25.19,301,1
2744,beta,high,55.08,59.59,436,1
2745,beta,high,52.87,24.76,313,1
2746,alpha,medium,26.06,59.5,167,0
2747,alpha,high,40.29,42.01,90,0
2748,alpha,medium,46.62,37.83,115,1
2749,beta,low,65.92,64.59,131,1
2750,alpha,low,41.09,61.42,136,0
2751,beta,low,68.83,35.22,247,0
2752,alpha,medium,64.47,11.68,482,1
2753,beta,low,65.86,54.49,381,0
2754,beta,high,31.98,99.92,203,0
2755,beta,medium,52.61,99.14,346,1
2756,beta,medium,44.68,37.8,202,1
2757,beta,high,38.37,57.67,247,1
2758,alpha,high,86.66,67.36,90,1
2759,alpha,low,47.06,23.76,218,0
2760,alpha,low,66.97,30.06,278,1
2761,alpha,high,45.32,32.73,424,1
2762,alpha,medium,55.94,83.3,125,0
2763,alpha,medium,67.89,2.25,96,0
2764,alpha,low,49.02,24.75,215,0
2765,beta,low,57.13,4.76,364,1
2766,beta,medium,61.07,2.58,133,1
2767,beta,low,58.0,30.38,285,1
2768,alpha,medium,39.7,28.04,341,0
2769,alpha,high,40.77,40.09,260,0
2770,alpha,low,33.38,91.09,411,1
2771,alpha,low,46.31,43.34,273,0
2772,beta,low,42.14,28.98,459,0
2773,beta,low,53.27,81.79,257,1
2774,alpha,medium,42.08,21.47,391,0
2775,alpha,high,15.26,65.76,299,0
2776,beta,high,51.72,44.49,39,0
2777,alpha,low,32.48,98.39,149,1
2778,beta,medium,35.4,89.36,395,0
2779,beta,low,57.43,30.77,347,0
2780,beta,high,20.09,75.93,319,1
2781,beta,low,46.78,15.76,438,0
2782,beta,low,43.86,88.35,414,0
2783,alpha,high,72.24,7.28,362,1
2784,alpha,low,35.98,81.92,169,0
2785,beta,low,50.86,99.08,360,1
2786,alpha,high,50.03,70.64,191,0
2787,alpha,medium,43.92,34.6,16,1
2788,alpha,high,51.76,56.46,175,1
2789,beta,medium,45.13,32.29,104,0
2790,alpha,medium,66.46,82.78,30,1
2791,alpha,medium,43.1,93.73,204,0
2792,beta,low,52.92,67.63,4,0
2793,alpha,high,71.7,17.99,109,1
2794,alpha,medium,45.89,36.49,361,1
2795,alpha,high,53.11,18.64,322,1
2796,beta,medium,58.74,59.47,281,1
2797,alpha,high,61.08,95.95,68,1
2798,beta,high,23.57,63.04,23,1
2799,beta,high,41.31,67.14,117,1
2800,alpha,high,45.08,59.36,213,1
2801,beta,high,74.05,61.91,351,1
2802,beta,high,75.02,19.47,163,1
2803,alpha,medium,60.09,10.03,204,1
2804,alpha,high,-6.64,2.34,405,0
2805,beta,low,58.5,2.82,338,0
2806,beta,low,32.83,18.73,399,0
2807,beta,low,57.17,25.5,6,1
2808,beta,medium,43.89,97.8,417,1
2809,alpha,low,49.35,79.33,419,0
2810,beta,high,38.35,80.67,252,1
2811,beta,high,55.55,73.28,430,0
2812,beta,low,56.64,48.37,271,0
2813,beta,medium,57.94,37.41,338,1
2814,beta,low,56.42,81.96,153,0
2815,alpha,medium,41.27,85.28,72,1
2816,alpha,low,73.91,66.68,417,1
2817,beta,low,45.59,43.03,399,1
2818,alpha,medium,77.54,15.3,214,0
2819,beta,low,64.45,59.78,383,1
2820,alpha,medium,55.56,38.49,274,1
2821,alpha,low,47.48,42.05,299,1
2822,alpha,low,43.49,84.46,39,0
2823,beta,medium,63.15,53.05,176,0
2824,alpha,high,46.9,83.11,140,1
2825,beta,high,31.48,80.04,286,0
2826,alpha,medium,44.86,65.39,260,0
2827,beta,low,72.12,47.28,412,1
2828,beta,low,58.45,57.43,439,0
2829,beta,medium,35.2,35.93,56,1
2830,alpha,high,48.06,63.53,164,1
2831,alpha,medium,83.85,18.1,124,1
2832,alpha,high,41.24,98.58,15,0
2833,beta,medium,43.22,76.34,159,1
2834,beta,low,67.44,28.65,221,1
2835,beta,low,55.18,87.99,350,1
2836,alpha,high,78.93,67.07,440,1
2837,alpha,low,36.68,66.9,330,1
2838,beta,medium,26.38,61.3,283,0
2839,beta,low,36.76,16.11,199,1
2840,alpha,high,70.0,66.55,65,0
2841,alpha,medium,25.64,54.87,166,1
2842,alpha,medium,60.1,71.52,428,0
2843,beta,medium,73.6,86.35,242,0
2844,beta,high,85.48,37.64,250,1
2845,alpha,low,52.12,77.93,31,0
2846,beta,low,29.03,74.59,397,0
2847,alpha,medium,50.23,91.09,67,0
2848,alpha,high,56.5,96.05,205,1
2849,beta,low,27.94,91.58,125,1
2850,beta,high,35.98,30.68,392,0
2851,beta,low,54.34,91.5,177,1
2852,alpha,low,66.8,72.6,152,0
2853,beta,medium,67.12,84.35,375,0
2854,beta,medium,42.05,30.44,237,1
2855,alpha,low,46.21,30.09,95,0
2856,alpha,low,50.38,49.46,246,0
2857,alpha,high,38.72,3.75,411,1
2858,alpha,low,53.75,61.84,413,0
2859,alpha,high,43.02,70.47,49,1
2860,alpha,medium,65.77,90.29,183,1
2861,alpha,low,64.47,81.77,246,1
2862,alpha,low,56.76,70.09,231,1
2863,alpha,medium,69.32,73.22,261,1
2864,alpha,medium,70.22,61.92,330,1
2865,beta,high,47.69,44.56,62,0
2866,beta,low,67.62,40.91,307,0
2867,beta,medium,56.39,75.14,445,1
2868,alpha,medium,25.92,38.92,124,1
2869,beta,high,51.97,9.28,15,1
2870,alpha,high,33.86,66.0,88,1
2871,alpha,medium,25.92,58.21,495,0
2872,beta,medium,52.82,64.53,250,1
2873,alpha,high,44.23,0.19,232,1
2874,alpha,medium,32.5,63.35,69,1
2875,alpha,medium,41.93,28.04,182,0
2876,alpha,medium,51.84,68.75,495,0
2877,beta,high,33.41,96.89,261,1
2878,beta,medium,52.23,54.1,91,1
2879,alpha,high,75.31,14.39,284,1
2880,alpha,low,57.98,51.15,493,1
2881,alpha,medium,44.0,14.28,388,1
2882,beta,high,33.83,50.02,171,1
2883,beta,medium,35.38,50.36,250,0
2884,beta,medium,78.92,80.68,452,1
2885,alpha,high,42.01,50.34,211,0
2886,alpha,low,51.82,6.63,424,1
2887,beta,medium,44.74,6.25,116,0
2888,alpha,medium,48.25,24.74,157,0
2889,beta,medium,38.65,78.53,303,0
2890,beta,medium,25.39,63.86,480,0
2891,alpha,high,48.61,16.86,63,0
2892,alpha,high,46.75,41.42,385,1
2893,alpha,medium,56.4,77.66,310,0
2894,alpha,low,50.67,76.95,25,0
2895,beta,low,41.92,36.01,138,1
2896,alpha,high,47.95,3.65,481,1
2897,alpha,low,52.74,87.33,53,0
2898,alpha,high,53.38,6.4,198,1
2899,beta,high,34.06,54.01,162,0
2900,alpha,high,44.31,36.36,204,1
2901,beta,high,53.69,0.92,320,1
2902,beta,low,69.15,17.35,66,1
2903,beta,medium,44.45,83.59,402,1
2904,beta,medium,69.76,19.07,163,0
2905,alpha,medium,47.69,1.37,253,1
2906,alpha,high,61.97,13.13,486,1
2907,alpha,medium,40.62,95.83,434,1
2908,alpha,low,39.85,22.73,406,1
2909,beta,low,55.05,2.25,134,0
2910,alpha,high,44.48,63.17,16,0
2911,beta,medium,19.95,74.79,430,1
2912,beta,low,66.37,25.47,34,1
2913,beta,low,39.19,19.48,266,1
2914,alpha,medium,55.35,36.23,233,1
2915,alpha,medium,49.85,7.67,240,0
2916,beta,low,63.3,2.63,197,1
2917,alpha,low,77.92,5.72,449,0
2918,alpha,medium,51.52,8.71,415,0
2919,beta,low,68.81,14.67,77,0
2920,alpha,low,55.45,14.99,410,1
2921,beta,high,36.7,26.41,473,0
2922,alpha,low,43.07,96.27,423,1
2923,beta,high,52.27,52.4,83,1
2924,beta,medium,21.24,80.48,155,1
2925,alpha,high,40.85,27.74,13,0
2926,alpha,low,57.51,65.36,379,0
2927,alpha,high,45.22,10.26,446,1
2928,alpha,low,61.55,66.79,56,1
2929,alpha,high,74.16,38.56,445,1
2930,beta,high,52.52,2.25,137,1
2931,alpha,high,32.44,11.9,158,0
2932,alpha,low,55.14,39.21,370,1
2933,alpha,high,46.36,37.1,293,0
2934,beta,low,59.69,76.97,216,0
2935,beta,low,32.01,76.97,210,0
2936,alpha,high,33.75,38.3,226,0
2937,alpha,medium,62.01,34.31,50,1
2938,alpha,high,32.41,98.61,1,1
2939,alpha,medium,36.39,10.82,112,0
2940,beta,high,56.74,61.73,141,0
2941,alpha,low,46.16,46.86,467,0
2942,alpha,medium,48.28,78.88,397,0
2943,alpha,low,63.13,2.93,273,1
2944,alpha,high,48.24,25.4,77,1
2945,beta,low,57.44,85.53,73,1
2946,alpha,high,51.43,73.2,173,1
2947,alpha,medium,37.13,53.56,115,0
2948,beta,high,62.86,74.12,452,1
2949,alpha,medium,42.36,12.15,135,0
2950,beta,medium,58.5,41.05,411,1
2951,alpha,low,51.36,45.58,243,1
2952,beta,medium,41.5,22.44,483,0
2953,alpha,medium,58.51,73.87,94,1
2954,alpha,medium,51.19,43.99,303,1
2955,beta,medium,48.35,93.73,233,0
2956,beta,high,62.73,25.23,281,1
2957,beta,medium,52.37,8.51,33,1
2958,alpha,low,51.77,2.07,264,1
2959,alpha,medium,50.32,37.53,347,1
2960,alpha,high,40.41,1.84,1,0
2961,alpha,medium,34.65,16.96,252,1
2962,beta,medium,41.49,59.67,413,0
2963,alpha,low,38.89,20.45,48,0
2964,beta,low,77.51,31.94,188,0
2965,alpha,low,41.39,61.24,273,1
2966,beta,high,39.83,59.09,376,0
2967,beta,low,51.11,97.8,275,1
2968,alpha,medium,53.96,76.9,487,1
2969,alpha,medium,73.3,35.67,188,0
2970,beta,low,34.49,63.34,148,0
2971,alpha,low,38.74,6.65,474,1
2972,beta,low,30.39,59.84,309,0
2973,beta,low,51.42,72.78,373,0
2974,alpha,low,53.4,66.53,46,1
2975,alpha,high,62.29,3.41,9,0
2976,beta,low,53.22,62.3,465,1
2977,beta,high,34.13,5.81,196,0
2978,beta,low,53.35,45.19,459,1
2979,alpha,medium,59.38,63.59,435,0
2980,beta,low,46.93,6.36,457,0
2981,beta,high,44.17,23.79,62,1
2982,alpha,high,49.2,55.72,173,1
2983,alpha,low,41.03,84.84,377,1
2984,alpha,high,57.3,93.55,436,1
2985,alpha,medium,50.0,63.52,12,0
2986,beta,medium,60.63,76.05,79,0
2987,alpha,high,49.79,45.04,111,1
2988,beta,high,47.91,91.17,470,1
2989,beta,high,52.76,27.97,364,1
2990,beta,medium,60.87,97.51,459,1
2991,beta,low,49.96,59.0,438,1
2992,beta,low,58.94,9.57,455,1
2993,beta,low,48.66,86.12,89,0
2994,beta,low,65.52,90.85,133,0
2995,beta,low,42.33,20.66,319,0
2996,beta,medium,28.75,60.87,464,0
2997,beta,medium,42.77,57.57,242,1
2998,beta,high,35.35,76.37,402,1
2999,beta,low,49.51,96.04,429,0
3000,beta,medium,74.72,33.62,99,0
3001,alpha,medium,44.82,31.16,491,1
3002,beta,medium,56.78,64.51,479,0
3003,beta,medium,35.3,37.5,490,0
3004,beta,medium,55.96,45.56,79,0
3005,beta,high,50.18,0.24,93,0
3006,beta,medium,46.43,44.66,26,1
3007,beta,medium,70.92,41.34,155,1
3008,beta,medium,62.04,7.5,236,1
3009,alpha,high,51.54,1.68,15,1
3010,alpha,high,26.85,55.2,394,0
3011,alpha,low,36.24,4.79,408,1
3012,beta,medium,44.24,69.93,406,1
3013,alpha,low,35.3,22.52,453,1
3014,alpha,medium,65.89,31.71,230,1
3015,beta,high,40.64,55.93,318,0
3016,alpha,low,12.44,27.72,226,1
3017,beta,low,12.57,45.39,399,1
3018,beta,high,53.59,15.79,438,1
3019,alpha,high,78.98,50.36,185,1
3020,beta,high,55.62,67.54,241,0
3021,beta,high,43.38,18.47,174,0
3022,alpha,medium,56.22,76.81,206,1
3023,alpha,high,61.69,71.47,45,1
3024,alpha,low,74.51,41.39,482,1
3025,alpha,low,51.53,47.97,413,1
3026,beta,medium,56.53,10.16,155,0
3027,alpha,medium,55.35,53.78,159,0
3028,beta,low,45.44,10.31,92,0
3029,beta,low,49.94,98.13,220,1
3030,beta,low,46.13,48.51,125,1
